PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
163,0,0,1,0,1,4,16010071,16010071,0,1,0,0
505,0,0,1,0,2,7,98123441,98123441,0,1,0,0
288,0,0,1,0,1,5,28270129,28270129,0,1,0,0
0,1,0,0,0,2,4,38217205,38217205,0,1,0,2
0,1,1,0,0,6,10,93869857,93869857,6,1,0,1
432,0,0,1,0,1,3,8620000,8620000,6,1,0,2
250,0,0,1,0,1,4,42188752,42188752,0,1,0,2
302,0,0,1,0,1,3,6020000,6020000,6,1,0,0
0,1,1,0,0,4,11,18211447,18211447,6,0,1,1
112,0,0,1,0,1,4,11012126,11012126,0,1,0,0
0,1,0,0,0,10,2,9535000,9535000,6,0,1,1
0,1,1,0,0,3,9,12507854,12507854,6,0,1,1
394,0,0,1,0,1,4,61507663,61507663,0,1,0,2
0,1,1,0,0,6,10,69525276,69525276,6,1,0,1
0,1,1,0,0,9,4,93030935,93030935,6,0,1,1
0,1,0,0,0,6,5,24668703,24668703,0,1,0,2
302,0,0,1,0,1,4,29590061,29590061,0,1,0,0
104,0,0,1,0,1,4,10241188,10241188,0,1,0,0
303,0,0,1,0,1,5,47330927,47330927,0,1,0,2
0,1,0,0,0,1,4,7375000,7375000,6,0,1,1
0,1,0,0,0,2,5,53270983,53270983,0,1,0,2
0,1,1,0,0,11,5,24237685,24237685,6,0,1,1
504,0,0,1,0,1,4,49410635,49410635,0,1,0,0
0,1,0,0,0,10,5,22794074,22794074,0,1,0,2
0,1,1,0,0,5,11,22841392,22841392,6,1,0,1
0,1,0,0,0,2,5,55421336,55421336,0,1,0,2
517,0,0,1,0,1,4,50734231,50734231,0,1,0,0
488,0,0,1,0,1,5,47834060,47834060,0,1,0,0
0,1,0,0,0,10,15,58505000,58505000,6,0,1,1
0,1,1,0,0,6,2,71892790,71892790,6,0,1,1
267,0,0,1,0,1,3,5320000,5320000,6,1,0,0
0,1,1,0,0,6,10,17409652,17409652,6,1,0,1
348,0,0,1,0,1,4,58827417,58827417,0,1,0,2
355,0,0,1,0,1,3,7080000,7080000,6,1,0,0
0,1,0,0,0,10,4,33850886,33850886,0,1,0,2
0,1,0,0,0,10,6,14040000,14040000,6,1,0,1
208,0,0,1,0,1,5,20461459,20461459,0,1,0,0
232,0,0,1,0,2,8,45058589,45058589,0,1,0,0
0,1,0,0,0,10,6,5960000,5960000,6,1,0,1
0,1,0,0,0,2,3,3385000,3385000,6,1,0,2
71,0,0,1,0,2,6,3270400,3270400,6,1,0,1
0,1,1,0,0,15,12,9808167,9808167,6,0,1,1
479,0,0,1,0,2,7,93068341,93068341,0,1,0,0
0,1,0,0,0,10,9,44845000,44845000,6,0,1,1
0,1,0,0,0,10,4,63469558,63469558,0,1,0,2
0,1,0,0,0,2,3,2622000,2622000,6,0,1,2
489,0,0,1,0,2,6,94997008,94997008,6,1,0,0
0,1,1,0,0,12,14,73787005,73787005,6,1,0,1
462,0,0,1,0,2,7,89841040,89841040,0,1,0,0
214,0,0,1,0,1,3,4260000,4260000,6,1,0,0
0,1,0,0,0,10,3,6351000,6351000,6,1,0,2
0,1,1,0,0,12,1,16049036,16049036,6,1,0,0
423,0,0,1,0,1,5,41493576,41493576,0,1,0,0
248,0,0,1,0,2,7,48183187,48183187,0,1,0,0
0,1,0,0,0,1,11,52810000,52810000,6,1,0,1
0,1,0,0,0,2,3,3338000,3338000,6,1,0,2
0,1,1,0,0,6,4,69131003,69131003,6,1,0,1
0,1,1,0,0,5,14,12329127,12329127,6,1,0,1
0,1,0,0,0,1,2,9905000,9905000,6,0,1,1
325,0,0,1,0,1,3,6480000,6480000,6,1,0,2
0,1,1,0,0,15,10,14026164,14026164,6,0,1,1
0,1,0,0,0,2,5,44204292,44204292,0,1,0,2
450,0,0,1,0,2,8,87439773,87439773,0,1,0,0
372,0,0,1,0,1,3,7420000,7420000,6,1,0,2
391,0,0,1,0,1,3,7800000,7800000,6,1,0,0
0,1,1,0,0,11,5,17782162,17782162,6,1,0,1
0,1,0,0,0,10,14,8660000,8660000,6,0,1,1
0,1,1,0,0,13,3,70464853,70464853,6,0,1,1
0,1,0,0,0,10,5,61387285,61387285,0,1,0,2
545,0,0,1,0,1,3,10880000,10880000,6,1,0,0
0,1,0,0,0,10,6,13860000,13860000,6,0,1,1
61,0,0,1,0,2,8,14778487,14778487,0,1,0,1
330,0,0,1,0,1,3,6580000,6580000,6,1,0,2
267,0,0,1,0,2,8,51860158,51860158,0,1,0,0
0,1,1,0,0,5,3,13796382,13796382,6,1,0,1
0,1,0,0,0,1,11,54870000,54870000,6,0,1,1
0,1,1,0,0,3,4,71297565,71297565,6,0,1,1
0,1,0,0,0,10,2,7395000,7395000,6,1,0,1
439,0,0,1,0,1,5,42991726,42991726,0,1,0,0
494,0,0,1,0,2,8,96036982,96036982,0,1,0,0
0,1,1,0,0,3,5,17999076,17999076,6,1,0,1
212,0,0,1,0,1,5,20830572,20830572,0,1,0,0
107,0,0,1,0,1,3,2120000,2120000,6,1,0,0
0,1,0,0,0,2,3,3972000,3972000,6,0,1,2
150,0,0,1,0,1,4,14751831,14751831,0,1,0,0
0,1,0,0,0,10,3,5918000,5918000,6,1,0,2
0,1,0,0,0,10,5,36699358,36699358,0,1,0,2
99,0,0,1,0,1,3,1960000,1960000,6,1,0,0
177,0,0,1,0,1,3,3520000,3520000,6,1,0,2
0,1,1,0,0,2,4,13941380,13941380,6,0,1,1
275,0,0,1,0,2,7,53383706,53383706,0,1,0,0
